,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,HDFC.NS,HDFC.NS,HDFC.NS,HDFC.NS,HDFC.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,UPL.NS,UPL.NS,UPL.NS,UPL.NS,UPL.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20 00:00:00+05:30,2918.0,2965.699951171875,2900.199951171875,2947.39990234375,8056888,1669.800048828125,1681.449951171875,1652.0,1669.3499755859375,20704371,1516.300048828125,1517.5,1499.0999755859375,1515.4000244140625,7927010,1154.050048828125,1160.0,1135.5,1156.800048828125,15475933,3796.0,3809.949951171875,3780.050048828125,3787.25,2846526,1765.0,1789.8499755859375,1760.300048828125,1766.25,9243104,2457.0,2490.0,2446.64990234375,2482.199951171875,2163310,853.0,853.0999755859375,842.3499755859375,843.75,13985352,,,,,,1405.949951171875,1406.949951171875,1376.25,1381.1500244140625,8742855,7183.935564030181,7228.611188028623,7075.480027121692,7171.10009765625,900158,2885.0,2924.5,2872.39990234375,2915.5,1129752,424.04998779296875,426.5,421.5,423.29998779296875,14585806,1230.0999755859375,1241.5,1220.4000244140625,1239.5,8206858,3584.949951171875,3613.300048828125,3564.60009765625,3594.449951171875,2618715,1448.949951171875,1448.949951171875,1429.550048828125,1443.449951171875,3163919,12246.0,12305.5,12135.0,12149.5,907751,1487.949951171875,1487.949951171875,1467.0,1471.0,4168375,3474.0,3490.0,3418.10009765625,3435.949951171875,2377432,178.01344496815753,179.33677378351155,175.82747622007926,178.6800079345703,38837494,11008.900390625,11173.900390625,10875.400390625,10903.2001953125,445369,497.5,497.5,488.25,490.3999938964844,6285563,362.5,364.8999938964844,357.04998779296875,357.6499938964844,14338604,327.5,328.29998779296875,322.29998779296875,324.54998779296875,11749507,1386.0,1399.0,1371.449951171875,1393.0999755859375,1987190,1536.0,1540.75,1513.0,1527.8499755859375,3589441,1476.0,1480.9000244140625,1451.449951171875,1455.5,1444553,4486.0,4522.25,4439.7001953125,4504.0498046875,412934,2945.050048828125,2954.75,2857.300048828125,2871.199951171875,4024418,5925.0,5996.0,5888.0,5970.7998046875,497947,3263.89990234375,3315.0,3240.0,3259.449951171875,1366545,665.0,684.3499755859375,661.75,676.5,6646966,980.0,988.4000244140625,976.3499755859375,978.25,7299571,2447.10009765625,2504.0,2432.5,2498.800048828125,1008266,271.79998779296875,274.0,269.1000061035156,271.8500061035156,12826509,1591.4959016393443,1593.9943253467843,1572.10810927094,1585.0,1649421,914.9500122070312,938.0,911.2999877929688,929.6500244140625,3120339,310.0,314.3999938964844,306.3999938964844,313.125,18076646,5360.64990234375,5400.0,5319.0,5378.4501953125,296418,1558.0,1559.1500244140625,1540.0,1544.8499755859375,1705002,6165.7001953125,6193.7001953125,6115.75,6175.85009765625,252844,4885.35009765625,4924.89990234375,4843.0498046875,4876.89990234375,637364,5669.0,5669.0,5496.0,5504.60009765625,840321,557.2999877929688,577.7000122070312,554.5999755859375,569.0,7472902,481.04998779296875,487.3999938964844,471.54998779296875,483.1499938964844,7864157,1108.050048828125,1108.3499755859375,1096.0999755859375,1103.25,1223872,27490.0,27766.900390625,27343.849609375,27698.44921875,30646,1459.300048828125,1476.800048828125,1444.0999755859375,1469.4000244140625,4905603,2525.0,2551.14990234375,2500.0,2539.75,657413,594.179337620102,595.4749194213855,580.725092578782,588.0999755859375,6133067
