"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 19-Jun-2024","1W AGO 
 14-Jun-2024","1M AGO 
 21-May-2024","1Y AGO 
 21-Jun-2023","52W H 
","52W L 
","365 D % CHNG 
 21-Jun-2023","30 D % CHNG 
 21-May-2024"
"NIFTY CONSUMER DURABLES","38,204.70","0.86","37,947.40","38,475.10","37,851.05","-","37,879.35","37,827.55","37,978.95","35,309.40","27,312.90","38,727.40","14,089.55","38.69","7.28"
"NIFTY OIL & GAS","11,847.35","-1.18","12,022.60","12,028.05","11,847.05","-","11,989.10","11,879.30","12,095.25","11,767.75","7,607.90","12,437.75","4,632.70","57.59","1.88"
"NIFTY MIDSMALL HEALTHCARE","35,804.25","0.28","35,837.30","36,080.35","35,775.45","-","35,702.70","35,526.75","36,052.75","34,473.95","-","36,164.30","20,019.15","-","3.56"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,180.90","-0.13","6,225.90","6,243.85","6,175.70","-","6,189.25","6,187.35","6,219.60","6,039.70","4,227.55","6,258.95","4,155.05","46.40","2.48"
"NIFTY GROWTH SECTORS 15","10,964.90","-0.03","11,041.65","11,074.40","10,946.95","-","10,967.65","11,003.15","11,089.55","10,740.90","9,472.20","11,281.70","9,339.90","15.79","2.11"
"NIFTY100 QUALITY 30","5,606.45","-0.15","5,640.00","5,647.20","5,598.30","-","5,615.00","5,613.55","5,642.10","5,361.85","4,263.50","-","-","31.70","4.72"
"NIFTY50 VALUE 20","12,793.55","0.14","12,865.75","12,912.70","12,775.00","-","12,776.10","12,763.85","12,724.20","12,510.25","9,752.40","12,839.95","9,593.40","31.00","2.13"
"NIFTY50 TR 2X LEVERAGE","19,192.30","-0.85","19,512.90","19,519.15","19,155.75","-","19,357.00","19,264.60","19,198.70","17,794.20","13,149.80","19,506.95","12,847.25","47.20","8.78"
"NIFTY50 PR 2X LEVERAGE","13,270.15","-0.88","13,491.85","13,496.15","13,244.85","-","13,387.30","13,331.90","13,287.35","12,386.50","9,315.60","13,499.60","9,059.10","43.71","8.08"
"NIFTY50 TR 1X INVERSE","172.90","0.44","171.45","173.05","171.45","-","172.15","172.55","172.75","180.85","206.95","210.55","171.45","-16.82","-4.81"
"NIFTY50 PR 1X INVERSE","207.70","0.44","206.00","207.90","205.95","-","206.80","207.20","207.45","216.55","245.70","250.95","205.90","-15.83","-4.50"
"NIFTY50 DIVIDEND POINTS","119.45","2.47","119.45","119.45","119.45","-","116.57","109.06","108.12","44.04","84.37","-","-","38.17","164.69"
"NIFTY ALPHA 50","56,241.15","0.28","56,277.30","56,658.05","56,206.20","-","56,085.25","55,784.65","56,238.65","52,818.25","31,065.50","-","-","80.54","6.19"
"NIFTY50 EQUAL WEIGHT","29,815.35","-0.19","29,977.20","30,025.00","29,787.65","-","29,873.20","29,850.75","29,999.05","28,708.60","22,115.20","-","-","35.08","4.06"
"NIFTY100 EQUAL WEIGHT","32,342.75","-0.25","32,529.15","32,546.15","32,325.45","-","32,424.30","32,377.70","32,546.10","31,132.45","22,045.45","-","-","47.08","4.15"
"NIFTY100 LOW VOLATILITY 30","18,716.70","-0.41","18,841.05","18,851.10","18,692.50","-","18,793.60","18,815.05","18,891.05","18,023.50","14,375.40","-","-","30.73","4.27"
"NIFTY200 QUALITY 30","20,526.05","-0.18","20,656.50","20,694.40","20,497.40","-","20,562.85","20,493.70","20,602.40","19,458.85","15,483.10","-","-","32.81","5.67"
